"Candidaturas 2019 ";"Votos 2019 ";"%  2019 ";"Diputados/as 2019 ";"Candidaturas 2016 ";"Votos 2016 ";"%  2016 ";"Diputados/as 2016 "
"PSOE";"7.480.755";"28,68";"123";"PSOE";"5.443.846";"22,63";"85"
"PP";"4.356.023";"16,70";"66";"PP";"7.941.236";"33,01";"137"
"Cs";"4.136.600";"15,86";"57";"Cs";"3.141.570";"13,06";"32"
"PODEMOS-IU-EQUO";"3.118.191";"11,95";"35";"PODEMOS-IU-EQUO";"3.227.123";"13,42";"45"
"VOX";"2.677.173";"10,26";"24";"VOX";"47.182";"0,20";"0"
"ERC-SOBIRANISTES";"1.015.355";"3,89";"15";"ERC-SOBIRANISTES";"632.234";"2,63";"9"
"ECP-GUANYEM EL CANVI";"614.738";"2,36";"7";"ECP-GUANYEM EL CANVI";"853.102";"3,55";"12"
"JxCAT-JUNTS";"497.638";"1,91";"7";"JxCAT-JUNTS";"-";"-";"-"
"EAJ-PNV";"394.627";"1,51";"6";"EAJ-PNV";"287.014";"1,19";"5"
"EH Bildu";"258.840";"0,99";"4";"EH Bildu";"184.713";"0,77";"2"
"CCa-PNC";"137.196";"0,53";"2";"CCa-PNC";"78.253";"0,33";"1"
"NA+";"107.124";"0,41";"2";"NA+";"-";"-";"-"
"COMPROMÍS 2019";"172.751";"0,66";"1";"COMPROMÍS 2019";"-";"-";"-"
"PRC";"52.197";"0,20";"1";"PRC";"-";"-";"-"
"PACMA";"326.045";"1,25";"0";"PACMA";"286.702";"1,19";"0"
"FRONT REPUBLICÀ";"113.008";"0,43";"0";"FRONT REPUBLICÀ";"-";"-";"-"
"BNG";"93.810";"0,36";"0";"BNG";"45.252";"0,19";"0"
"RECORTES CERO-GV";"46.487";"0,18";"0";"RECORTES CERO-GV";"51.907";"0,22";"0"
"NCa";"36.193";"0,14";"0";"NCa";"-";"-";"-"
"PACT";"30.448";"0,12";"0";"PACT";"-";"-";"-"
"ARA-MES-ESQUERRA";"25.384";"0,10";"0";"ARA-MES-ESQUERRA";"-";"-";"-"
"GBAI";"22.150";"0,08";"0";"GBAI";"14.343";"0,06";"0"
"PUM+J";"21.711";"0,08";"0";"PUM+J";"-";"-";"-"
"EN MAREA";"17.726";"0,07";"0";"EN MAREA";"-";"-";"-"
"PCTE";"14.189";"0,05";"0";"PCTE";"-";"-";"-"
"EL PI";"11.671";"0,04";"0";"EL PI";"-";"-";"-"
"AxSI";"11.485";"0,04";"0";"AxSI";"-";"-";"-"
"PCOE";"9.094";"0,03";"0";"PCOE";"1.822";"0,01";"0"
"PCPE";"8.991";"0,03";"0";"PCPE";"26.627";"0,11";"0"
"AVANT ADELANTE LOS VERDES";"7.251";"0,03";"0";"AVANT ADELANTE LOS VERDES";"-";"-";"-"
"EB";"7.128";"0,03";"0";"EB";"11.669";"0,05";"0"
"CpM";"6.890";"0,03";"0";"CpM";"-";"-";"-"
"SOMOS REGIÓN";"5.018";"0,02";"0";"SOMOS REGIÓN";"-";"-";"-"
"PCPA";"4.737";"0,02";"0";"PCPA";"-";"-";"-"
"PH";"4.435";"0,02";"0";"PH";"3.012";"0,01";"0"
"UIG-SOM-CUIDES";"4.433";"0,02";"0";"UIG-SOM-CUIDES";"-";"-";"-"
"ERPV";"4.203";"0,02";"0";"ERPV";"-";"-";"-"
"IZQP";"3.409";"0,01";"0";"IZQP";"-";"-";"-"
"PCPC";"3.373";"0,01";"0";"PCPC";"-";"-";"-"
"AHORA CANARIAS";"3.027";"0,01";"0";"AHORA CANARIAS";"-";"-";"-"
"CxG";"2.692";"0,01";"0";"CxG";"-";"-";"-"
"PPSO";"2.656";"0,01";"0";"PPSO";"-";"-";"-"
"CNV";"2.406";"0,01";"0";"CNV";"-";"-";"-"
"PREPAL";"2.135";"0,01";"0";"PREPAL";"668";"0";"0"
"C.Ex-C.R.Ex-P.R.Ex";"2.135";"0,01";"0";"C.Ex-C.R.Ex-P.R.Ex";"-";"-";"-"
"PR+";"2.080";"0,01";"0";"PR+";"-";"-";"-"
"P-LIB";"1.250";"0";"0";"P-LIB";"2.996";"0,01";"0"
"CILU-LINARES";"1.079";"0";"0";"CILU-LINARES";"-";"-";"-"
"ANDECHA ASTUR";"909";"0";"0";"ANDECHA ASTUR";"-";"-";"-"
""JF"";"872";"0";"0";""JF"";"-";"-";"-"
"PYLN";"824";"0";"0";"PYLN";"-";"-";"-"
"FIA";"803";"0";"0";"FIA";"550";"0";"0"
"FE de las JONS";"641";"0";"0";"FE de las JONS";"9.909";"0,04";"0"
"SOLIDARIA";"627";"0";"0";"SOLIDARIA";"-";"-";"-"
"F8";"566";"0";"0";"F8";"-";"-";"-"
"DPL";"539";"0";"0";"DPL";"-";"-";"-"
"UNIÓN REGIONALISTA";"483";"0";"0";"UNIÓN REGIONALISTA";"-";"-";"-"
"centrados";"458";"0";"0";"centrados";"-";"-";"-"
"DP";"308";"0";"0";"DP";"-";"-";"-"
"VOU";"303";"0";"0";"VOU";"-";"-";"-"
"PDSJE-UDEC";"276";"0";"0";"PDSJE-UDEC";"-";"-";"-"
"IZAR";"253";"0";"0";"IZAR";"687";"0";"0"
"RISA";"188";"0";"0";"RISA";"-";"-";"-"
"C 21";"69";"0";"0";"C 21";"-";"-";"-"
"+MAS+";"46";"0";"0";"+MAS+";"-";"-";"-"
"UDT";"28";"0";"0";"UDT";"48";"0";"0"
"-";"-";"-";"-";"-";"659.771";"2,74";"9"
"-";"-";"-";"-";"-";"483.488";"2,01";"8"
"-";"-";"-";"-";"-";"347.542";"1,44";"5"
"-";"-";"-";"-";"-";"50.247";"0,21";"0"
"-";"-";"-";"-";"-";"7.418";"0,03";"0"
"-";"-";"-";"-";"-";"6.647";"0,03";"0"
"-";"-";"-";"-";"-";"6.273";"0,03";"0"
"-";"-";"-";"-";"-";"3.110";"0,01";"0"
"-";"-";"-";"-";"-";"3.011";"0,01";"0"
"-";"-";"-";"-";"-";"2.672";"0,01";"0"
"-";"-";"-";"-";"-";"2.295";"0,01";"0"
"-";"-";"-";"-";"-";"1.727";"0,01";"0"
"-";"-";"-";"-";"-";"1.190";"0";"0"
"-";"-";"-";"-";"-";"846";"0";"0"
"-";"-";"-";"-";"-";"830";"0";"0"
"-";"-";"-";"-";"-";"724";"0";"0"
"-";"-";"-";"-";"-";"723";"0";"0"
"-";"-";"-";"-";"-";"686";"0";"0"
"-";"-";"-";"-";"-";"622";"0";"0"
"-";"-";"-";"-";"-";"570";"0";"0"
"-";"-";"-";"-";"-";"377";"0";"0"
"-";"-";"-";"-";"-";"356";"0";"0"
"-";"-";"-";"-";"-";"336";"0";"0"
"-";"-";"-";"-";"-";"254";"0";"0"
"-";"-";"-";"-";"-";"214";"0";"0"
"-";"-";"-";"-";"-";"200";"0";"0"
"-";"-";"-";"-";"-";"80";"0";"0"